"","Term","P.value","Z.score","Genes"
"1","retromer complex (GO:0030904)",0.00733742219088078,-2.18842194923475,"SNX2;SNX8"
"2","heterochromatin (GO:0000792)",0.0126495108130238,-2.2069634319127,"CDKN2A;UHRF1;SUV39H1;DNMT3B"
"3","endosomal part (GO:0044440)",0.017509257952228,-2.29379032608301,"SNX2;SLC11A1;RFFL;SNX8;PRLR;WLS;TMEM165"
"4","cell-cell adherens junction (GO:0005913)",0.0243007954418472,-2.19374184989807,"SHROOM2;LMO7;MLLT4"
"5","filamentous actin (GO:0031941)",0.0339408453600991,-2.30259094910496,"SHROOM2;LRRC16A"
"6","endosome membrane (GO:0010008)",0.02938143240814,-2.145150053996,"SNX2;SLC11A1;RFFL;SNX8;WLS;TMEM165"
"7","mitochondrial intermembrane space (GO:0005758)",0.028541418186838,-2.10375969953704,"ARL2BP;COX17;SOD1"
"8","chromatin (GO:0000785)",0.0393328400103729,-2.23329954563735,"MTBP;SMAD4;SETD3;MYCN;CDKN2A;UHRF1;SUV39H1;DNMT3B"
"9","microtubule associated complex (GO:0005875)",0.0368666302928311,-2.101959410291,"KIF2A;APPBP2;KIF16B;DCTN3;DNHD1"
"10","organelle envelope lumen (GO:0031970)",0.0434443489790247,-1.9319499038628,"ARL2BP;COX17;SOD1"
"11","nuclear heterochromatin (GO:0005720)",0.0782223027921813,-2.09329246837499,"UHRF1;DNMT3B"
"12","early endosome membrane (GO:0031901)",0.0941712616185726,-2.02024351335394,"SNX8;WLS"
"13","microtubule (GO:0005874)",0.107145517530476,-2.10407502202762,"EML5;KIF2A;APPBP2;KIF16B;SHROOM2;TBCB;KLK9;TUBA8"
"14","extracellular matrix part (GO:0044420)",0.0887014588086526,-1.93327966759577,"COL15A1;COL14A1;TINAG;THSD4"
"15","extracellular space (GO:0005615)",0.10816765878108,-1.89063930917921,"IL21;CPNE9;SERPINA3;COL15A1;WNT10A;CCL11;TGFB3;IFNB1;COL14A1;IL24;AFM;IL18;MRGPRD;CXCL2;SOD1;TG;FAP;C1QTNF6;REN;MDGA1"
"16","cytosolic part (GO:0044445)",0.123609963701231,-1.87976547697593,"CYB5R3;RPS5;RPL36;RPL29;NARFL"
"17","collagen trimer (GO:0005581)",0.120199883459813,-1.73600600321673,"COL15A1;COL14A1;C1QTNF6"
